year,no,date,t,m,e,P,N,u_sign,v_sign,delta_sign,region
1997,1,Apr.7,7,1.0,-2.63586,0.0,0.0,-,+,+,I
1997,2,Apr.12,12,1.0,-1.06424,1.0,8.0,-,+,+,I
1997,3,Apr.17,17,1.0,-0.46914,1.25,12.0,-,+,+,I
1997,4,Apr.22,22,1.0,-0.22294,3.008,43.0,-,+,+,I
1997,5,Apr.30,30,1.0,-0.22294,1.767,335.0,-,+,+,I
1997,6,May.6,36,1.0,0.06623,4.283,591.0,-,-,+,III
1997,7,May.17,47,1.0,-0.18899,0.85,78.0,-,+,+,I
1997,8,May.20,50,1.0,0.18845,2.867,375.0,-,-,+,III
1997,9,May.30,60,1.0,0.91868,4.308,540.0,-,-,+,III
1998,10,Apr.1,1,1.0,-2.81192,1.25,6.0,-,+,+,I
1998,11,Apr.11,11,1.0,-0.70342,3.25,10.0,-,+,+,I
1998,12,Apr.17,17,1.0,-0.26343,2.07,35.0,-,+,+,I
1998,13,Apr.20,20,1.0,-0.50242,0.525,57.0,-,+,+,I
1998,14,Apr.30,30,1.0,-0.37854,2.792,135.0,-,+,+,I
1998,15,May.10,40,1.0,-0.09093,5.35,527.0,-,+,+,I
1998,16,May.20,50,1.0,-0.76043,3.692,156.0,-,+,+,I
1998,17,May.30,60,1.0,-1.11685,1.975,487.0,-,+,+,I
1999,18,Apr.4,4,1.0,-1.22463,0.0,5.0,-,+,+,I
1999,19,Apr.11,11,1.0,0.08956,1.25,12.0,-,-,+,III
1999,20,Apr.17,17,1.0,0.30439,1.5,254.0,-,-,+,III
1999,21,Apr.22,22,1.0,0.69386,2.5,107.0,-,-,+,III
1999,22,Apr.29,29,1.0,0.4522,5.25,324.0,-,-,+,III
1999,23,May.1,31,1.0,0.44034,8.792,562.0,-,-,-,II
1999,24,May.3,33,0.5,0.39554,0.033,31.0,-,-,+,III
1999,25,May.5,35,1.0,0.16556,1.342,97.0,-,-,+,III
1999,26,May.7,37,1.0,-0.09624,0.183,146.0,-,+,+,I
1999,27,May.9,39,1.0,-0.11225,5.033,56.0,-,+,+,I
1999,28,May.11,41,1.0,0.10945,8.658,357.0,-,-,-,II
1999,29,May.13,43,1.0,0.17933,5.975,479.0,-,-,-,II
1999,30,May.18,48,1.0,-3.63533,8.542,126.0,-,+,-,II
2000,31,Apr.6,6,1.0,-0.10056,0.0,0.0,-,+,+,I
2000,32,Apr.11,11,1.0,-0.69517,1.25,12.0,-,+,+,I
2000,33,Apr.16,16,1.0,-0.35274,1.0,71.0,-,+,+,I
2000,34,Apr.21,21,1.0,0.19216,2.758,499.0,-,-,+,III
2000,35,Apr.26,26,1.0,0.82608,5.517,1084.0,-,-,+,III
2000,36,May.1,31,0.5,1.18355,4.542,129.0,-,-,-,II
2000,37,May.6,36,1.0,1.5514,5.025,780.0,-,-,+,III
2000,38,May.11,41,1.0,1.57469,1.867,410.0,-,-,+,III
2000,39,May.16,46,1.0,1.49507,3.858,770.0,-,-,+,III
2000,40,May.21,51,1.0,1.89921,7.642,2370.0,-,-,-,II
2000,41,May.26,56,1.0,1.83317,15.375,5870.0,-,-,-,II
2001,42,Apr.2,2,1.0,-0.58205,0.25,39.0,-,+,+,I
2001,43,Apr.8,8,1.0,-0.17673,0.0,51.0,-,+,+,I
2001,44,Apr.14,14,1.0,-0.89996,2.25,137.0,-,+,+,I
2001,45,Apr.19,19,1.0,-0.34537,4.508,430.0,-,+,+,I
2001,46,Apr.25,25,0.5,-0.00926,2.042,615.0,-,+,+,I
2001,47,Apr.29,29,1.0,-0.38983,4.025,607.0,-,+,+,I
2001,48,May.4,34,1.0,0.31666,8.858,857.0,-,-,-,II
2001,49,May.7,37,1.0,0.83366,8.367,1005.0,-,-,-,II
2001,50,May.10,40,1.0,1.0798,6.242,1381.0,-,-,-,II
2001,51,May.13,43,1.0,1.0977,8.95,2086.0,-,-,-,II
2001,52,May.16,46,1.0,0.97573,9.25,2958.0,-,-,-,II
2001,53,May.20,50,1.0,0.86017,12.683,2829.0,-,-,-,II
2001,54,May.23,53,1.0,1.16507,12.1,1838.0,-,-,-,II
2001,55,May.26,56,1.0,1.31079,7.6,634.0,-,-,-,II
2002,56,Apr.5,5,1.0,0.58338,3.533,548.0,-,-,+,III
2002,57,Apr.10,10,1.0,0.06347,5.017,1212.0,-,-,+,III
2002,58,Apr.16,16,1.0,0.0798,10.833,1997.0,-,-,-,II
2002,59,Apr.21,21,1.0,0.66862,20.35,2033.0,-,-,-,II
2002,60,Apr.27,27,1.0,0.54301,38.908,7480.0,-,-,-,II
2002,61,May.3,33,0.5,-0.34537,2.458,105.0,-,+,+,I
2002,62,May.10,40,1.0,0.35932,2.525,149.0,-,-,+,III
