year,no,u_e12,v_e18,delta_e36
1997,1,-36.343818,84.3323037,0.0230777
1997,2,-222.9503546,1281.3281544,0.8426837
1997,3,-1147.2999358,14957.6569407,21.9315796
1997,4,-5080.5047198,139382.5489727,329.9100952
1997,5,-5080.4679518,139381.0359019,409.1869507
1997,6,-57565.5292476,-5316084.3880648,26387.5
1997,7,-7069.67435,228795.367967,854.5148926
1997,8,-7110.1180751,-230761.4892758,667.8640137
1997,9,-299.1587756,-1991.5936623,0.7026873
1998,10,-31.9381117,69.4723509,0.0169951
1998,11,-510.3543022,4437.6779858,3.1246045
1998,12,-3638.7381733,84483.9720385,203.4088135
1998,13,-1000.3325312,12177.6840818,17.3401847
1998,14,-1762.234443,28473.6827551,41.7090759
1998,15,-30539.8133785,2054223.4465716,2457.890625
1998,16,-436.7054816,3512.6192727,1.9845443
1998,17,-202.4466498,1108.699902,0.6331897
1999,18,-168.3702841,840.9037446,0.4952936
1999,19,-31480.8023642,-2149892.7884551,16512.375
1999,20,-2725.2684351,-54759.8239299,121.1012726
1999,21,-524.4593395,-4622.9143858,3.9146405
1999,22,-1234.7730646,-16700.4754173,4.8552246
1999,23,-1302.1318874,-18085.5022543,-38.3163853
1999,24,-1613.9650256,-24956.8226755,45.5055218
1999,25,-9212.1685397,-340322.7062369,1403.487793
1999,26,-27262.4075536,1732584.4906934,12972.65625
1999,27,-20040.5184797,1091972.1029832,1743.59375
1999,28,-21078.1716651,-1177870.4304761,-9500.9375
1999,29,-7851.5818903,-267783.5289443,-63.7333984
1999,30,-19.1223021,32.1853561,-0.0074354
2000,31,-24970.3543349,1518746.0846249,10893.8359375
2000,32,-522.520173,4597.2985542,4.5490532
2000,33,-2029.4101143,35188.6693816,69.8217163
2000,34,-6838.2225928,-217652.1512225,632.6237793
2000,35,-369.9808454,-2739.1573091,0.2318827
2000,36,-180.2104023,-931.1462323,-0.8219025
2000,37,-104.8912076,-413.4821295,0.0482163
2000,38,-101.8243609,-395.4810344,0.1624192
2000,39,-112.950107,-462.0384182,0.1244712
2000,40,-69.9784535,-225.3173395,-0.0627075
2000,41,-75.0843519,-250.4218345,-0.5926099
2001,42,-745.3432112,7832.17829,9.6880822
2001,43,-8084.528187,279788.6759375,1141.9353027
2001,44,-311.7825631,2118.9750871,1.4432748
2001,45,-2117.0138547,37491.5731765,31.0933533
2001,46,-2944785.6679065,1945040504.50284,76578816.0
2001,47,-1661.6614462,26071.2545002,25.0545044
2001,48,-2518.0071131,-48633.2778825,-147.1059723
2001,49,-363.2604,-2664.8648965,-2.4833736
2001,50,-216.5269756,-1226.3547784,-0.1277979
2001,51,-209.5059111,-1167.1926089,-1.0558302
2001,52,-265.1632734,-1661.95081,-1.8903221
2001,53,-341.1793171,-2425.6165464,-7.6736378
2001,54,-185.9563498,-976.0332558,-2.0206978
2001,55,-146.9250362,-685.4753132,-0.2692268
2002,56,-741.9057662,-7778.0590178,6.0555563
2002,57,-62680.8129297,-6040182.2689236,17384.625
2002,58,-39651.5008878,-3039048.001871,-68170.90625
2002,59,-564.6273422,-5164.0561087,-62.8795211
2002,60,-855.8930416,-9637.7866532,-562.2357812
2002,61,-2117.0216577,37491.7804551,22.1615219
2002,62,-1955.6995918,-33289.0446466,54.1848946
