no,year,month,day,date,t,lady,para,spid,hover,lace,N,P,m,e,u,v,delta,region
1,1997,4,7,Apr.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.6349300836319447,-36369475404501.66,8.442162255250561e+19,2.311031540772825e+34,I
2,1997,4,12,Apr.12,12,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,-1.0638026021692184,-223133728293592.22,1.2829092921512336e+21,8.440704819464369e+35,I
3,1997,4,17,Apr.17,17,0.0,0.0,1.0,1.0,1.0,12.0,1.25,1.0,-0.46890074856829916,-1148471019774616.8,1.498056438742122e+22,2.1976370827865884e+37,I
4,1997,4,22,Apr.22,22,3.0,1.0,0.0,0.0,0.0,43.0,3.0083333333333333,1.0,-0.22278054580992698,-5087779966095718.0,1.3968204834395262e+23,3.3082861275426244e+38,I
5,1997,4,30,Apr.30,30,1.0,2.0,1.0,1.0,0.0,335.0,1.7666666666666666,1.0,-0.22278054580992698,-5087743151992804.0,1.3968053229247407e+23,4.103751613184245e+38,I
6,1997,5,6,May.6,36,2.0,4.0,1.0,3.0,1.0,591.0,4.283333333333333,1.0,0.06630198166205592,-5.744060297801795e+16,-5.298788668929035e+24,2.6268396526483643e+40,III
7,1997,5,17,May.17,47,0.0,12.0,1.0,0.0,1.0,78.0,0.85,1.0,-0.18883520539980983,-7081269578252090.0,2.2935848202339394e+23,8.573202661575493e+38,I
8,1997,5,20,May.20,50,2.0,44.0,0.0,1.0,0.0,375.0,2.8666666666666667,1.0,0.18848253879833674,-7107663362171942.0,-2.3064199667877922e+23,6.674534945993729e+38,III
9,1997,5,30,May.30,60,1.0,37.0,2.0,3.0,2.0,540.0,4.308333333333334,1.0,0.9184763440167578,-299291461169211.7,-1.9929188034350225e+21,7.031773884622688e+35,III
10,1998,4,1,Apr.1,1,1.0,0.0,1.0,0.0,0.0,6.0,1.25,1.0,-2.8109210194879193,-31960815829300.14,6.954644365654435e+19,1.7019275801794798e+34,I
11,1998,4,11,Apr.11,11,3.0,0.0,1.0,0.0,0.0,10.0,3.25,1.0,-0.7031023922431762,-510815470404815.8,4.4436943309127067e+21,3.130253794865021e+36,I
12,1998,4,17,Apr.17,17,1.0,2.0,0.0,2.0,0.0,35.0,2.0166666666666666,1.0,-0.26325721208019204,-3643516244515200.0,8.465043204725436e+22,2.0395266527411632e+38,I
13,1998,4,20,Apr.20,20,0.0,3.0,2.0,0.0,0.0,57.0,0.525,1.0,-0.5021701652075854,-1001328126715595.8,1.2195868630142262e+22,1.7374715541672728e+37,I
14,1998,4,30,Apr.30,30,2.0,5.0,1.0,0.0,1.0,135.0,2.7916666666666665,1.0,-0.37833069918343,-1764184762811692.5,2.8520964900352713e+22,4.180445243361022e+37,I
15,1998,5,10,May.10,40,3.0,12.0,1.0,3.0,1.0,527.0,5.35,1.0,-0.09081451401040906,-3.0617535330299864e+16,2.0620702426886644e+24,2.4704041753919447e+39,I
16,1998,5,20,May.20,50,2.0,23.0,2.0,2.0,0.0,156.0,3.6916666666666664,1.0,-0.7600925100834576,-437093355198849.9,3.517300075034785e+21,1.9883146663249424e+36,I
